year,month,region,precip
1884,1,Deutschland,68.4
1885,1,Brandenburg/Berlin,19.1
1885,1,Brandenburg,19
1885,1,Baden-Wuerttemberg,19.1
1885,1,Bayern,16.6
1885,1,Hessen,22.2
1885,1,Mecklenburg-Vorpommern,22.7
1885,1,Niedersachsen,33.6
1885,1,Niedersachsen/Hamburg/Bremen,33.8
1885,1,Nordrhein-Westfalen,35.9
1885,1,Rheinland-Pfalz,26.5
1885,1,Schleswig-Holstein,46.7
1885,1,Saarland,31.8
1885,1,Sachsen,18.7
1885,1,Sachsen-Anhalt,18.4
1885,1,Thueringen/Sachsen-Anhalt,18.4
1885,1,Thueringen,18.4
1885,1,Deutschland,24.2
1886,1,Brandenburg/Berlin,34.8
1886,1,Brandenburg,34.8
1886,1,Baden-Wuerttemberg,71.2
1886,1,Bayern,40
1886,1,Hessen,56.4
1886,1,Mecklenburg-Vorpommern,41
1886,1,Niedersachsen,62.8
1886,1,Niedersachsen/Hamburg/Bremen,63.1
1886,1,Nordrhein-Westfalen,87.4
1886,1,Rheinland-Pfalz,73.5
1886,1,Schleswig-Holstein,74
1886,1,Saarland,105.3
1886,1,Sachsen,41.7
1886,1,Sachsen-Anhalt,31
1886,1,Thueringen/Sachsen-Anhalt,35.3
1886,1,Thueringen,40.7
1886,1,Deutschland,54.8
1887,1,Brandenburg/Berlin,2.6
1887,1,Brandenburg,2.6
1887,1,Baden-Wuerttemberg,9.9
1887,1,Bayern,7.1
1887,1,Hessen,6.8
1887,1,Mecklenburg-Vorpommern,4.3
1887,1,Niedersachsen,4.5
1887,1,Niedersachsen/Hamburg/Bremen,4.5
1887,1,Nordrhein-Westfalen,7.5
1887,1,Rheinland-Pfalz,8.3
1887,1,Schleswig-Holstein,3.5
1887,1,Saarland,12.6
1887,1,Sachsen,3.8
1887,1,Sachsen-Anhalt,2.4
1887,1,Thueringen/Sachsen-Anhalt,3.1
1887,1,Thueringen,4.1
1887,1,Deutschland,5.8
1888,1,Brandenburg/Berlin,34.7
1888,1,Brandenburg,34.7
1888,1,Baden-Wuerttemberg,42.1
1888,1,Bayern,46.9
1888,1,Hessen,31.4
1888,1,Mecklenburg-Vorpommern,30.4
1888,1,Niedersachsen,38.6
1888,1,Niedersachsen/Hamburg/Bremen,38.5
1888,1,Nordrhein-Westfalen,44.7
1888,1,Rheinland-Pfalz,35.4
1888,1,Schleswig-Holstein,39
1888,1,Saarland,38.6
1888,1,Sachsen,45.3
1888,1,Sachsen-Anhalt,32.1
1888,1,Thueringen/Sachsen-Anhalt,33.8
1888,1,Thueringen,36
1888,1,Deutschland,39.6
1889,1,Brandenburg/Berlin,20.8
1889,1,Brandenburg,20.7
1889,1,Baden-Wuerttemberg,19.9
1889,1,Bayern,16.5
1889,1,Hessen,10.7
1889,1,Mecklenburg-Vorpommern,15.4
1889,1,Niedersachsen,23
1889,1,Niedersachsen/Hamburg/Bremen,23
1889,1,Nordrhein-Westfalen,21.6
1889,1,Rheinland-Pfalz,12.7
1889,1,Schleswig-Holstein,14.6
1889,1,Saarland,16.7
1889,1,Sachsen,21.4
1889,1,Sachsen-Anhalt,19.9
1889,1,Thueringen/Sachsen-Anhalt,17.4
1889,1,Thueringen,14.2
1889,1,Deutschland,18.2
1890,1,Brandenburg/Berlin,60.3
1890,1,Brandenburg,60.2
1890,1,Baden-Wuerttemberg,95.2
1890,1,Bayern,85.9
1890,1,Hessen,106.5
1890,1,Mecklenburg-Vorpommern,54.8
1890,1,Niedersachsen,74
1890,1,Niedersachsen/Hamburg/Bremen,73.8
1890,1,Nordrhein-Westfalen,114.5
1890,1,Rheinland-Pfalz,109.3
1890,1,Schleswig-Holstein,65
1890,1,Saarland,134.3
1890,1,Sachsen,74.8
1890,1,Sachsen-Anhalt,61.8
1890,1,Thueringen/Sachsen-Anhalt,70.3
1890,1,Thueringen,81
1890,1,Deutschland,83.5
1891,1,Brandenburg/Berlin,44.6
1891,1,Brandenburg,44.7
1891,1,Baden-Wuerttemberg,33
1891,1,Bayern,51.2
1891,1,Hessen,51.6
1891,1,Mecklenburg-Vorpommern,48.5
1891,1,Niedersachsen,50.5
1891,1,Niedersachsen/Hamburg/Bremen,50.3
1891,1,Nordrhein-Westfalen,69.1
1891,1,Rheinland-Pfalz,43.7
1891,1,Schleswig-Holstein,44.2
1891,1,Saarland,38.6
1891,1,Sachsen,67.8
1891,1,Sachsen-Anhalt,41.1
1891,1,Thueringen/Sachsen-Anhalt,49.7
1891,1,Thueringen,60.5
1891,1,Deutschland,50.1
1892,1,Brandenburg/Berlin,51.9
1892,1,Brandenburg,52.1
1892,1,Baden-Wuerttemberg,71.2
1892,1,Bayern,81.3
1892,1,Hessen,51.7
1892,1,Mecklenburg-Vorpommern,65.4
1892,1,Niedersachsen,66.4
1892,1,Niedersachsen/Hamburg/Bremen,66.6
1892,1,Nordrhein-Westfalen,71.9
1892,1,Rheinland-Pfalz,53.3
1892,1,Schleswig-Holstein,80.3
1892,1,Saarland,61.1
1892,1,Sachsen,61.3
1892,1,Sachsen-Anhalt,47.9
1892,1,Thueringen/Sachsen-Anhalt,52.7
1892,1,Thueringen,58.8
1892,1,Deutschland,66.4
1893,1,Brandenburg/Berlin,31.1
1893,1,Brandenburg,31.3
1893,1,Baden-Wuerttemberg,52.7
1893,1,Bayern,65.7
1893,1,Hessen,44.7
1893,1,Mecklenburg-Vorpommern,33.8
1893,1,Niedersachsen,26.1
1893,1,Niedersachsen/Hamburg/Bremen,26.1
1893,1,Nordrhein-Westfalen,43.8
1893,1,Rheinland-Pfalz,47.7
1893,1,Schleswig-Holstein,29.8
1893,1,Saarland,44.2
1893,1,Sachsen,59.4
1893,1,Sachsen-Anhalt,31.3
1893,1,Thueringen/Sachsen-Anhalt,38.6
1893,1,Thueringen,47.8
1893,1,Deutschland,44.8
1894,1,Brandenburg/Berlin,14.1
1894,1,Brandenburg,14.1
1894,1,Baden-Wuerttemberg,26.9
1894,1,Bayern,22.2
1894,1,Hessen,40.4
1894,1,Mecklenburg-Vorpommern,23.4
1894,1,Niedersachsen,29.1
1894,1,Niedersachsen/Hamburg/Bremen,29.3
1894,1,Nordrhein-Westfalen,55
1894,1,Rheinland-Pfalz,45.5
1894,1,Schleswig-Holstein,43.2
1894,1,Saarland,54.3
1894,1,Sachsen,15.1
1894,1,Sachsen-Anhalt,13.3
1894,1,Thueringen/Sachsen-Anhalt,19.7
1894,1,Thueringen,27.7
1894,1,Deutschland,29
1895,1,Brandenburg/Berlin,53.7
1895,1,Brandenburg,53.9
1895,1,Baden-Wuerttemberg,77.2
1895,1,Bayern,62.4
1895,1,Hessen,63.6
1895,1,Mecklenburg-Vorpommern,57.7
1895,1,Niedersachsen,62
1895,1,Niedersachsen/Hamburg/Bremen,61.9
1895,1,Nordrhein-Westfalen,76.4
1895,1,Rheinland-Pfalz,69.8
1895,1,Schleswig-Holstein,45.2
1895,1,Saarland,89
1895,1,Sachsen,74
1895,1,Sachsen-Anhalt,65.1
1895,1,Thueringen/Sachsen-Anhalt,68.6
1895,1,Thueringen,72.9
1895,1,Deutschland,65.3
1896,1,Brandenburg/Berlin,25.1
1896,1,Brandenburg,25.1
1896,1,Baden-Wuerttemberg,29.2
1896,1,Bayern,50.7
1896,1,Hessen,43.8
1896,1,Mecklenburg-Vorpommern,16.8
1896,1,Niedersachsen,40.8
1896,1,Niedersachsen/Hamburg/Bremen,40.6
1896,1,Nordrhein-Westfalen,50.7
1896,1,Rheinland-Pfalz,33
1896,1,Schleswig-Holstein,27.6
1896,1,Saarland,29.4
1896,1,Sachsen,48.6
1896,1,Sachsen-Anhalt,29.6
1896,1,Thueringen/Sachsen-Anhalt,39.4
1896,1,Thueringen,51.7
1896,1,Deutschland,38.9
1897,1,Brandenburg/Berlin,29.8
1897,1,Brandenburg,29.8
1897,1,Baden-Wuerttemberg,25
1897,1,Bayern,37.4
1897,1,Hessen,46.5
1897,1,Mecklenburg-Vorpommern,24.9
1897,1,Niedersachsen,31.6
1897,1,Niedersachsen/Hamburg/Bremen,31.4
1897,1,Nordrhein-Westfalen,52.3
1897,1,Rheinland-Pfalz,38.3
1897,1,Schleswig-Holstein,18
1897,1,Saarland,33.1
1897,1,Sachsen,39.6
1897,1,Sachsen-Anhalt,32
1897,1,Thueringen/Sachsen-Anhalt,39.5
1897,1,Thueringen,49
1897,1,Deutschland,35.3
1898,1,Brandenburg/Berlin,33.4
1898,1,Brandenburg,33.4
1898,1,Baden-Wuerttemberg,20.8
1898,1,Bayern,33.4
1898,1,Hessen,31.3
1898,1,Mecklenburg-Vorpommern,36.4
1898,1,Niedersachsen,43.3
1898,1,Niedersachsen/Hamburg/Bremen,43.5
1898,1,Nordrhein-Westfalen,38
1898,1,Rheinland-Pfalz,20
1898,1,Schleswig-Holstein,51.9
1898,1,Saarland,12.1
1898,1,Sachsen,57.5
1898,1,Sachsen-Anhalt,30.3
1898,1,Thueringen/Sachsen-Anhalt,38.7
1898,1,Thueringen,49.2
1898,1,Deutschland,35.7
1899,1,Brandenburg/Berlin,58.2
1899,1,Brandenburg,58
1899,1,Baden-Wuerttemberg,115.7
1899,1,Bayern,92.5
1899,1,Hessen,88.4
1899,1,Mecklenburg-Vorpommern,63.6
1899,1,Niedersachsen,79.7
1899,1,Niedersachsen/Hamburg/Bremen,79.6
1899,1,Nordrhein-Westfalen,103.2
1899,1,Rheinland-Pfalz,98.2
1899,1,Schleswig-Holstein,81.6
1899,1,Saarland,128.1
1899,1,Sachsen,48.1
1899,1,Sachsen-Anhalt,55.8
1899,1,Thueringen/Sachsen-Anhalt,61
1899,1,Thueringen,67.6
1899,1,Deutschland,83.6
1900,1,Brandenburg/Berlin,60.2
1900,1,Brandenburg,60.5
1900,1,Baden-Wuerttemberg,152.9
1900,1,Bayern,125
1900,1,Hessen,98.5
1900,1,Mecklenburg-Vorpommern,63.5
1900,1,Niedersachsen,70.9
1900,1,Niedersachsen/Hamburg/Bremen,70.8
1900,1,Nordrhein-Westfalen,102.4
1900,1,Rheinland-Pfalz,117.3
1900,1,Schleswig-Holstein,82.3
1900,1,Saarland,151.7
1900,1,Sachsen,86.3
1900,1,Sachsen-Anhalt,62.5
1900,1,Thueringen/Sachsen-Anhalt,72
1900,1,Thueringen,84.1
1900,1,Deutschland,97.6
1901,1,Brandenburg/Berlin,30.5
1901,1,Brandenburg,30.5
1901,1,Baden-Wuerttemberg,44.4
1901,1,Bayern,43.9
1901,1,Hessen,57.6
1901,1,Mecklenburg-Vorpommern,34.8
1901,1,Niedersachsen,46.3
1901,1,Niedersachsen/Hamburg/Bremen,46.1
1901,1,Nordrhein-Westfalen,64.7
1901,1,Rheinland-Pfalz,40.1
1901,1,Schleswig-Holstein,47.6
1901,1,Saarland,47.1
1901,1,Sachsen,35.7
1901,1,Sachsen-Anhalt,37.1
1901,1,Thueringen/Sachsen-Anhalt,45.7
1901,1,Thueringen,56.6
1901,1,Deutschland,45.1
1902,1,Brandenburg/Berlin,46.5
1902,1,Brandenburg,46.5
1902,1,Baden-Wuerttemberg,55.2
1902,1,Bayern,61.3
1902,1,Hessen,55.9
1902,1,Mecklenburg-Vorpommern,62.9
1902,1,Niedersachsen,66.2
1902,1,Niedersachsen/Hamburg/Bremen,66.1
1902,1,Nordrhein-Westfalen,80.1
1902,1,Rheinland-Pfalz,54.9
1902,1,Schleswig-Holstein,83.7
1902,1,Saarland,73.4
1902,1,Sachsen,70.2
1902,1,Sachsen-Anhalt,39.3
1902,1,Thueringen/Sachsen-Anhalt,46.7
1902,1,Thueringen,55.9
1902,1,Deutschland,61.3
1903,1,Brandenburg/Berlin,28.7
1903,1,Brandenburg,28.7
1903,1,Baden-Wuerttemberg,54.1
1903,1,Bayern,56.7
1903,1,Hessen,51.4
1903,1,Mecklenburg-Vorpommern,41.6
1903,1,Niedersachsen,43.4
1903,1,Niedersachsen/Hamburg/Bremen,43.4
1903,1,Nordrhein-Westfalen,49.4
1903,1,Rheinland-Pfalz,53.5
1903,1,Schleswig-Holstein,51.8
1903,1,Saarland,64.2
1903,1,Sachsen,27.5
1903,1,Sachsen-Anhalt,26.3
1903,1,Thueringen/Sachsen-Anhalt,31.4
1903,1,Thueringen,37.8
1903,1,Deutschland,45.8
1904,1,Brandenburg/Berlin,24.6
1904,1,Brandenburg,24.5
1904,1,Baden-Wuerttemberg,43.4
1904,1,Bayern,31.7
1904,1,Hessen,44.2
1904,1,Mecklenburg-Vorpommern,29.4
1904,1,Niedersachsen,44.8
1904,1,Niedersachsen/Hamburg/Bremen,44.6
1904,1,Nordrhein-Westfalen,60.2
1904,1,Rheinland-Pfalz,47.4
1904,1,Schleswig-Holstein,45.3
1904,1,Saarland,67.8
1904,1,Sachsen,23.7
1904,1,Sachsen-Anhalt,26.4
1904,1,Thueringen/Sachsen-Anhalt,29.3
1904,1,Thueringen,32.9
1904,1,Deutschland,38.4
1905,1,Brandenburg/Berlin,34
1905,1,Brandenburg,34.1
1905,1,Baden-Wuerttemberg,57.1
1905,1,Bayern,60.8
1905,1,Hessen,54.6
1905,1,Mecklenburg-Vorpommern,42.9
1905,1,Niedersachsen,51.8
1905,1,Niedersachsen/Hamburg/Bremen,51.6
1905,1,Nordrhein-Westfalen,63
1905,1,Rheinland-Pfalz,55.9
1905,1,Schleswig-Holstein,45.1
1905,1,Saarland,73.6
1905,1,Sachsen,52.8
1905,1,Sachsen-Anhalt,38.6
1905,1,Thueringen/Sachsen-Anhalt,44.7
1905,1,Thueringen,52.4
1905,1,Deutschland,52.7
1906,1,Brandenburg/Berlin,48.7
1906,1,Brandenburg,48.7
1906,1,Baden-Wuerttemberg,81.1
1906,1,Bayern,61.3
1906,1,Hessen,75.1
1906,1,Mecklenburg-Vorpommern,70.8
1906,1,Niedersachsen,94.7
1906,1,Niedersachsen/Hamburg/Bremen,94.8
1906,1,Nordrhein-Westfalen,106.3
1906,1,Rheinland-Pfalz,76.6
1906,1,Schleswig-Holstein,90.5
1906,1,Saarland,116.1
1906,1,Sachsen,46.8
1906,1,Sachsen-Anhalt,45.7
1906,1,Thueringen/Sachsen-Anhalt,48.1
1906,1,Thueringen,51.1
1906,1,Deutschland,72.9
1907,1,Brandenburg/Berlin,53.7
1907,1,Brandenburg,53.5
1907,1,Baden-Wuerttemberg,69.4
1907,1,Bayern,75.7
1907,1,Hessen,50.8
1907,1,Mecklenburg-Vorpommern,45.7
1907,1,Niedersachsen,57.1
1907,1,Niedersachsen/Hamburg/Bremen,56.9
1907,1,Nordrhein-Westfalen,58.4
1907,1,Rheinland-Pfalz,52.1
1907,1,Schleswig-Holstein,51.5
1907,1,Saarland,60.2
1907,1,Sachsen,85
1907,1,Sachsen-Anhalt,38.2
1907,1,Thueringen/Sachsen-Anhalt,44.6
1907,1,Thueringen,52.7
1907,1,Deutschland,60.5
1908,1,Brandenburg/Berlin,34.6
1908,1,Brandenburg,34.5
1908,1,Baden-Wuerttemberg,36.3
1908,1,Bayern,32.5
1908,1,Hessen,34.8
1908,1,Mecklenburg-Vorpommern,34.4
1908,1,Niedersachsen,46.2
1908,1,Niedersachsen/Hamburg/Bremen,46.2
1908,1,Nordrhein-Westfalen,56.5
1908,1,Rheinland-Pfalz,35.2
1908,1,Schleswig-Holstein,54.7
1908,1,Saarland,44.3
1908,1,Sachsen,41.4
1908,1,Sachsen-Anhalt,28.6
1908,1,Thueringen/Sachsen-Anhalt,29.5
1908,1,Thueringen,30.6
1908,1,Deutschland,38.8
1909,1,Brandenburg/Berlin,24.8
1909,1,Brandenburg,24.9
1909,1,Baden-Wuerttemberg,46.3
1909,1,Bayern,38.7
1909,1,Hessen,43.1
1909,1,Mecklenburg-Vorpommern,29.3
1909,1,Niedersachsen,35
1909,1,Niedersachsen/Hamburg/Bremen,35
1909,1,Nordrhein-Westfalen,38
1909,1,Rheinland-Pfalz,43.9
1909,1,Schleswig-Holstein,37.9
1909,1,Saarland,52.1
1909,1,Sachsen,33.7
1909,1,Sachsen-Anhalt,22.4
1909,1,Thueringen/Sachsen-Anhalt,29.4
1909,1,Thueringen,38.1
1909,1,Deutschland,36.5
1910,1,Brandenburg/Berlin,35.4
1910,1,Brandenburg,35.4
1910,1,Baden-Wuerttemberg,109.3
1910,1,Bayern,85.2
1910,1,Hessen,64.7
1910,1,Mecklenburg-Vorpommern,43.1
1910,1,Niedersachsen,73.6
1910,1,Niedersachsen/Hamburg/Bremen,73.7
1910,1,Nordrhein-Westfalen,71.5
1910,1,Rheinland-Pfalz,81.2
1910,1,Schleswig-Holstein,83.5
1910,1,Saarland,100.7
1910,1,Sachsen,39.2
1910,1,Sachsen-Anhalt,36.9
1910,1,Thueringen/Sachsen-Anhalt,42.9
1910,1,Thueringen,50.4
1910,1,Deutschland,69.8
1911,1,Brandenburg/Berlin,33.4
1911,1,Brandenburg,33.3
1911,1,Baden-Wuerttemberg,23.6
1911,1,Bayern,26.3
1911,1,Hessen,21.4
1911,1,Mecklenburg-Vorpommern,28.1
1911,1,Niedersachsen,28.9
1911,1,Niedersachsen/Hamburg/Bremen,28.9
1911,1,Nordrhein-Westfalen,29.3
1911,1,Rheinland-Pfalz,23.6
1911,1,Schleswig-Holstein,36.4
1911,1,Saarland,26.2
1911,1,Sachsen,41.2
1911,1,Sachsen-Anhalt,22.1
1911,1,Thueringen/Sachsen-Anhalt,23.4
1911,1,Thueringen,25.1
1911,1,Deutschland,27.9
1912,1,Brandenburg/Berlin,33.2
1912,1,Brandenburg,33.1
1912,1,Baden-Wuerttemberg,72.8
1912,1,Bayern,73.9
1912,1,Hessen,60.4
1912,1,Mecklenburg-Vorpommern,33.2
1912,1,Niedersachsen,49.3
1912,1,Niedersachsen/Hamburg/Bremen,49.1
1912,1,Nordrhein-Westfalen,78.2
1912,1,Rheinland-Pfalz,57.5
1912,1,Schleswig-Holstein,33.1
1912,1,Saarland,89.4
1912,1,Sachsen,52.3
1912,1,Sachsen-Anhalt,37.4
1912,1,Thueringen/Sachsen-Anhalt,48
1912,1,Thueringen,61.3
1912,1,Deutschland,57.7
1913,1,Brandenburg/Berlin,22.3
1913,1,Brandenburg,22.3
1913,1,Baden-Wuerttemberg,74.8
1913,1,Bayern,60.9
1913,1,Hessen,55.7
1913,1,Mecklenburg-Vorpommern,30.5
1913,1,Niedersachsen,55.9
1913,1,Niedersachsen/Hamburg/Bremen,55.7
1913,1,Nordrhein-Westfalen,77.5
1913,1,Rheinland-Pfalz,70.2
1913,1,Schleswig-Holstein,43.9
1913,1,Saarland,91.9
1913,1,Sachsen,39.9
1913,1,Sachsen-Anhalt,30.3
1913,1,Thueringen/Sachsen-Anhalt,35
1913,1,Thueringen,41
1913,1,Deutschland,53.9
1914,1,Brandenburg/Berlin,29.1
1914,1,Brandenburg,29
1914,1,Baden-Wuerttemberg,71.7
1914,1,Bayern,50.8
1914,1,Hessen,39.2
1914,1,Mecklenburg-Vorpommern,25.8
1914,1,Niedersachsen,35.6
1914,1,Niedersachsen/Hamburg/Bremen,35.6
1914,1,Nordrhein-Westfalen,57.9
1914,1,Rheinland-Pfalz,52.1
1914,1,Schleswig-Holstein,32.1
1914,1,Saarland,77.5
1914,1,Sachsen,47.9
1914,1,Sachsen-Anhalt,21.2
1914,1,Thueringen/Sachsen-Anhalt,26.9
1914,1,Thueringen,34
1914,1,Deutschland,44.3
1915,1,Brandenburg/Berlin,65.8
1915,1,Brandenburg,65.7
1915,1,Baden-Wuerttemberg,106.4
1915,1,Bayern,117.4
1915,1,Hessen,89.9
1915,1,Mecklenburg-Vorpommern,61.2
1915,1,Niedersachsen,95.6
1915,1,Niedersachsen/Hamburg/Bremen,95.1
1915,1,Nordrhein-Westfalen,114.9
1915,1,Rheinland-Pfalz,93.3
1915,1,Schleswig-Holstein,67.5
1915,1,Saarland,135.8
1915,1,Sachsen,79.7
1915,1,Sachsen-Anhalt,67.9
1915,1,Thueringen/Sachsen-Anhalt,77.8
1915,1,Thueringen,90.3
1915,1,Deutschland,94
1916,1,Brandenburg/Berlin,95.3
1916,1,Brandenburg,95.1
1916,1,Baden-Wuerttemberg,62.5
1916,1,Bayern,79.7
1916,1,Hessen,79.2
1916,1,Mecklenburg-Vorpommern,95.8
1916,1,Niedersachsen,102.2
1916,1,Niedersachsen/Hamburg/Bremen,102.7
1916,1,Nordrhein-Westfalen,101.7
1916,1,Rheinland-Pfalz,65.3
1916,1,Schleswig-Holstein,105.6
1916,1,Saarland,72.1
1916,1,Sachsen,95.4
1916,1,Sachsen-Anhalt,70.9
1916,1,Thueringen/Sachsen-Anhalt,74
1916,1,Thueringen,78
1916,1,Deutschland,86.1
1917,1,Brandenburg/Berlin,60.5
1917,1,Brandenburg,60.1
1917,1,Baden-Wuerttemberg,58.6
1917,1,Bayern,71.9
1917,1,Hessen,51.9
1917,1,Mecklenburg-Vorpommern,58.6
1917,1,Niedersachsen,50.1
1917,1,Niedersachsen/Hamburg/Bremen,49.8
1917,1,Nordrhein-Westfalen,67
1917,1,Rheinland-Pfalz,52.5
1917,1,Schleswig-Holstein,44.3
1917,1,Saarland,53.9
1917,1,Sachsen,87.9
1917,1,Sachsen-Anhalt,61.7
1917,1,Thueringen/Sachsen-Anhalt,63.6
1917,1,Thueringen,65.9
1917,1,Deutschland,61.8
1918,1,Brandenburg/Berlin,79.1
1918,1,Brandenburg,78.5
1918,1,Baden-Wuerttemberg,66.8
1918,1,Bayern,53.2
1918,1,Hessen,74.8
1918,1,Mecklenburg-Vorpommern,68.7
1918,1,Niedersachsen,98
1918,1,Niedersachsen/Hamburg/Bremen,97.7
1918,1,Nordrhein-Westfalen,95.4
1918,1,Rheinland-Pfalz,79.4
1918,1,Schleswig-Holstein,64.4
1918,1,Saarland,105.1
1918,1,Sachsen,52.7
1918,1,Sachsen-Anhalt,71.4
1918,1,Thueringen/Sachsen-Anhalt,68.6
1918,1,Thueringen,65.1
1918,1,Deutschland,73
1919,1,Brandenburg/Berlin,24.9
1919,1,Brandenburg,24.9
1919,1,Baden-Wuerttemberg,28.4
1919,1,Bayern,33.5
1919,1,Hessen,37.1
1919,1,Mecklenburg-Vorpommern,34.9
1919,1,Niedersachsen,33.2
1919,1,Niedersachsen/Hamburg/Bremen,33.2
1919,1,Nordrhein-Westfalen,36.7
1919,1,Rheinland-Pfalz,43.1
1919,1,Schleswig-Holstein,39.3
1919,1,Saarland,60.4
1919,1,Sachsen,21.7
1919,1,Sachsen-Anhalt,23
1919,1,Thueringen/Sachsen-Anhalt,26.6
1919,1,Thueringen,31.1
1919,1,Deutschland,32.6
1920,1,Brandenburg/Berlin,58.1
1920,1,Brandenburg,58
1920,1,Baden-Wuerttemberg,97.9
1920,1,Bayern,102.9
1920,1,Hessen,120.5
1920,1,Mecklenburg-Vorpommern,69.4
1920,1,Niedersachsen,76.3
1920,1,Niedersachsen/Hamburg/Bremen,76.3
1920,1,Nordrhein-Westfalen,121.7
1920,1,Rheinland-Pfalz,121
1920,1,Schleswig-Holstein,77.8
1920,1,Saarland,158.7
1920,1,Sachsen,65.5
1920,1,Sachsen-Anhalt,50.3
1920,1,Thueringen/Sachsen-Anhalt,69
1920,1,Thueringen,92.4
1920,1,Deutschland,90.6
1921,1,Brandenburg/Berlin,90
1921,1,Brandenburg,90.1
1921,1,Baden-Wuerttemberg,76.7
1921,1,Bayern,84.9
1921,1,Hessen,94.7
1921,1,Mecklenburg-Vorpommern,103.3
1921,1,Niedersachsen,123.4
1921,1,Niedersachsen/Hamburg/Bremen,123.4
1921,1,Nordrhein-Westfalen,127.8
1921,1,Rheinland-Pfalz,79.3
1921,1,Schleswig-Holstein,112.1
1921,1,Saarland,94.5
1921,1,Sachsen,102.8
1921,1,Sachsen-Anhalt,83
1921,1,Thueringen/Sachsen-Anhalt,88.8
1921,1,Thueringen,96.1
1921,1,Deutschland,98
1922,1,Brandenburg/Berlin,50.2
1922,1,Brandenburg,50.3
1922,1,Baden-Wuerttemberg,94.9
1922,1,Bayern,83.1
1922,1,Hessen,76.8
1922,1,Mecklenburg-Vorpommern,49.9
1922,1,Niedersachsen,63.2
1922,1,Niedersachsen/Hamburg/Bremen,63
1922,1,Nordrhein-Westfalen,87.6
1922,1,Rheinland-Pfalz,86.5
1922,1,Schleswig-Holstein,46.7
1922,1,Saarland,95.8
1922,1,Sachsen,68.1
1922,1,Sachsen-Anhalt,50.7
1922,1,Thueringen/Sachsen-Anhalt,60.7
1922,1,Thueringen,73.2
1922,1,Deutschland,72.4
1923,1,Brandenburg/Berlin,41.8
1923,1,Brandenburg,41.7
1923,1,Baden-Wuerttemberg,61.3
1923,1,Bayern,73.5
1923,1,Hessen,56.5
1923,1,Mecklenburg-Vorpommern,47.9
1923,1,Niedersachsen,62.5
1923,1,Niedersachsen/Hamburg/Bremen,62.5
1923,1,Nordrhein-Westfalen,70.9
1923,1,Rheinland-Pfalz,52.6
1923,1,Schleswig-Holstein,55.5
1923,1,Saarland,57.1
1923,1,Sachsen,63.7
1923,1,Sachsen-Anhalt,37.2
1923,1,Thueringen/Sachsen-Anhalt,43.8
1923,1,Thueringen,52
1923,1,Deutschland,59.6
1924,1,Brandenburg/Berlin,18.8
1924,1,Brandenburg,18.8
1924,1,Baden-Wuerttemberg,32.6
1924,1,Bayern,28.3
